date,wwtp,capacity,temperature,precipitations_96h_sum_mm,precipitations_24h_sum_mm,totalEc_cfu_100ml_a,totalEc_cfu_100ml_b,esblEc_cfu_100ml_a,esblEc_cfu_100ml_b,esblEc_percentage_a,esblEc_percentage_b,flowrate_m3_day,totalEc_loads_a,totalEc_loads_b,esblEc_loads_a,esblEc_loads_b
05_04_2022,Chur,55000,7.7,0,0,4000000,3900000,37000,na,0.925,na,11907,8659636364,8443145455,80101636.36,na
05_04_2022,Geneva,454000,8.7,1.9,0,1300000,1200000,49000,42000,3.769230769,3.5,127945,3663623348,3381806167,138090418.5,118363215.9
05_04_2022,Laupen,62000,7.9,0.4,0,1200000,800000,18000,12000,1.5,1.5,23490,4546451613,3030967742,68196774.19,45464516.13
12_04_2022,Lugano,124000,12.1,0,0,3000000,1800000,39000,27000,1.3,1.5,24737.68748,5984924390,3590954634,77804017.07,53864319.51
12_04_2022,Zurich,471000,12.1,3.6,0,3100000,2400000,43000,38000,1.387096774,1.583333333,12979,854244161.4,661350318.5,11849193.21,10471380.04
12_04_2022,Altenrhein,64000,10.2,2.1,0,1600000,1200000,27000,26000,1.6875,2.166666667,160760,40190000000,30142500000,678206250,653087500
12_04_2022,Chur,55000,15.8,4.6,0,3500000,3400000,77000,34000,2.2,1,19235,12240454545,11890727273,269290000,118907272.7
12_04_2022,Geneva,454000,12.7,0,0,3000000,2700000,55000,48000,1.833333333,1.777777778,43841,2896982379,2607284141,53111343.61,46351718.06
12_04_2022,Laupen,62000,11.7,1.7,0,3200000,3100000,54000,45000,1.6875,1.451612903,167371.4057,86385241652,83685702850,1457750953,1214792461
19_04_2022,Lugano,124000,13.3,0,0,2700000,2500000,52000,46000,1.925925926,1.84,33791,7357717742,6812701613,141704193.5,125353709.7
19_04_2022,Zurich,471000,11.3,0,0,2800000,2600000,83000,60000,2.964285714,2.307692308,134358.9463,7987368358,7416842046,236768419.2,171157893.4
19_04_2022,Altenrhein,64000,9.9,0,0,4000000,3900000,89000,50000,2.225,1.282051282,14576.99696,9110623100,8882857523,202711364,113882788.8
19_04_2022,Chur,55000,11.3,0,0,3100000,2500000,25000,22000,0.806451613,0.88,12383,6979509091,5628636364,56286363.64,49532000
19_04_2022,Geneva,454000,12.2,0,0,2500000,2200000,85000,62000,3.4,2.818181818,138426,7622577093,6707867841,259167621.1,189039911.9
19_04_2022,Laupen,62000,10.6,0,0,2700000,2400000,58000,48000,2.148148148,2,16120,7020000000,6240000000,150800000,124800000
26_04_2022,Lugano,124000,12.4,48.4,5.4,800000,400000,14000,7000,1.75,1.75,63593,4102774194,2051387097,71798548.39,35899274.19
